country,year,series,value
Comoros,2018,Tourist/visitor arrivals (thousands),35.9
Comoros,1995,Tourism expenditure (millions of US dollars),22
Comoros,2005,Tourism expenditure (millions of US dollars),24.4
Comoros,2010,Tourism expenditure (millions of US dollars),35.2
Comoros,2016,Tourism expenditure (millions of US dollars),50.5
Comoros,2017,Tourism expenditure (millions of US dollars),60.6
Comoros,2018,Tourism expenditure (millions of US dollars),76.7
Congo,2005,Tourist/visitor arrivals (thousands),35
Congo,2010,Tourist/visitor arrivals (thousands),194
Congo,2016,Tourist/visitor arrivals (thousands),211
Congo,2017,Tourist/visitor arrivals (thousands),149
Congo,2018,Tourist/visitor arrivals (thousands),156
Congo,1995,Tourism expenditure (millions of US dollars),14.6691
Congo,2010,Tourism expenditure (millions of US dollars),39
Congo,2016,Tourism expenditure (millions of US dollars),42.9
Cook Islands,1995,Tourist/visitor arrivals (thousands),48
Cook Islands,2005,Tourist/visitor arrivals (thousands),88
Cook Islands,2010,Tourist/visitor arrivals (thousands),104
Cook Islands,2016,Tourist/visitor arrivals (thousands),146
Cook Islands,2017,Tourist/visitor arrivals (thousands),161
Cook Islands,2018,Tourist/visitor arrivals (thousands),169
Cook Islands,1995,Tourism expenditure (millions of US dollars),28
Cook Islands,2005,Tourism expenditure (millions of US dollars),91
Cook Islands,2010,Tourism expenditure (millions of US dollars),111
Cook Islands,2016,Tourism expenditure (millions of US dollars),137
Cook Islands,2017,Tourism expenditure (millions of US dollars),153
Costa Rica,1995,Tourist/visitor arrivals (thousands),785
Costa Rica,2005,Tourist/visitor arrivals (thousands),1679
Costa Rica,2010,Tourist/visitor arrivals (thousands),2100
Costa Rica,2016,Tourist/visitor arrivals (thousands),2925
Costa Rica,2017,Tourist/visitor arrivals (thousands),2960
Costa Rica,2018,Tourist/visitor arrivals (thousands),3017
Costa Rica,1995,Tourism expenditure (millions of US dollars),763
Costa Rica,2005,Tourism expenditure (millions of US dollars),2008
Costa Rica,2010,Tourism expenditure (millions of US dollars),2426
Costa Rica,2016,Tourism expenditure (millions of US dollars),3776
Costa Rica,2017,Tourism expenditure (millions of US dollars),3826
Costa Rica,2018,Tourism expenditure (millions of US dollars),3995
CÃ´te dâ€™Ivoire,2010,Tourist/visitor arrivals (thousands),252
CÃ´te dâ€™Ivoire,2016,Tourist/visitor arrivals (thousands),1583
CÃ´te dâ€™Ivoire,2017,Tourist/visitor arrivals (thousands),1800
CÃ´te dâ€™Ivoire,2018,Tourist/visitor arrivals (thousands),1965
CÃ´te dâ€™Ivoire,1995,Tourism expenditure (millions of US dollars),103
CÃ´te dâ€™Ivoire,2005,Tourism expenditure (millions of US dollars),93
CÃ´te dâ€™Ivoire,2010,Tourism expenditure (millions of US dollars),213
CÃ´te dâ€™Ivoire,2016,Tourism expenditure (millions of US dollars),477
CÃ´te dâ€™Ivoire,2017,Tourism expenditure (millions of US dollars),508
Croatia,1995,Tourist/visitor arrivals (thousands),1485
Croatia,2005,Tourist/visitor arrivals (thousands),7743
Croatia,2010,Tourist/visitor arrivals (thousands),9111
Croatia,2016,Tourist/visitor arrivals (thousands),13809
Croatia,2017,Tourist/visitor arrivals (thousands),15593
Croatia,2018,Tourist/visitor arrivals (thousands),16645
Croatia,2005,Tourism expenditure (millions of US dollars),7625
Croatia,2010,Tourism expenditure (millions of US dollars),8299
Croatia,2016,Tourism expenditure (millions of US dollars),9820
Croatia,2017,Tourism expenditure (millions of US dollars),11128
Croatia,2018,Tourism expenditure (millions of US dollars),12075
Cuba,1995,Tourist/visitor arrivals (thousands),742
Cuba,2005,Tourist/visitor arrivals (thousands),2261
Cuba,2010,Tourist/visitor arrivals (thousands),2507
Cuba,2016,Tourist/visitor arrivals (thousands),3975
Cuba,2017,Tourist/visitor arrivals (thousands),4594
Cuba,2018,Tourist/visitor arrivals (thousands),4684
Cuba,1995,Tourism expenditure (millions of US dollars),1100
Cuba,2005,Tourism expenditure (millions of US dollars),2591
Cuba,2010,Tourism expenditure (millions of US dollars),2396
Cuba,2016,Tourism expenditure (millions of US dollars),3069
Cuba,2017,Tourism expenditure (millions of US dollars),3302
Cuba,2018,Tourism expenditure (millions of US dollars),2969
CuraÃ§ao,1995,Tourist/visitor arrivals (thousands),224
CuraÃ§ao,2005,Tourist/visitor arrivals (thousands),222
CuraÃ§ao,2010,Tourist/visitor arrivals (thousands),342
CuraÃ§ao,2016,Tourist/visitor arrivals (thousands),441
CuraÃ§ao,2017,Tourist/visitor arrivals (thousands),399
CuraÃ§ao,2018,Tourist/visitor arrivals (thousands),432
CuraÃ§ao,1995,Tourism expenditure (millions of US dollars),175
CuraÃ§ao,2005,Tourism expenditure (millions of US dollars),244
CuraÃ§ao,2010,Tourism expenditure (millions of US dollars),438
CuraÃ§ao,2016,Tourism expenditure (millions of US dollars),644
CuraÃ§ao,2017,Tourism expenditure (millions of US dollars),572
CuraÃ§ao,2018,Tourism expenditure (millions of US dollars),605
Cyprus,1995,Tourist/visitor arrivals (thousands),2100
Cyprus,2005,Tourist/visitor arrivals (thousands),2470
Cyprus,2010,Tourist/visitor arrivals (thousands),2173
Cyprus,2016,Tourist/visitor arrivals (thousands),3187
Cyprus,2017,Tourist/visitor arrivals (thousands),3652
Cyprus,2018,Tourist/visitor arrivals (thousands),3939
Cyprus,1995,Tourism expenditure (millions of US dollars),2018.0443
Cyprus,2005,Tourism expenditure (millions of US dollars),2644
Cyprus,2010,Tourism expenditure (millions of US dollars),2137
Cyprus,2016,Tourism expenditure (millions of US dollars),2870
Cyprus,2017,Tourism expenditure (millions of US dollars),3274
Cyprus,2018,Tourism expenditure (millions of US dollars),3449
Czechia,2005,Tourist/visitor arrivals (thousands),9404
Czechia,2010,Tourist/visitor arrivals (thousands),8629
Czechia,2016,Tourist/visitor arrivals (thousands),12808
Czechia,2017,Tourist/visitor arrivals (thousands),13665
Czechia,2005,Tourism expenditure (millions of US dollars),5772
Czechia,2010,Tourism expenditure (millions of US dollars),8068
Czechia,2016,Tourism expenditure (millions of US dollars),7041
Czechia,2017,Tourism expenditure (millions of US dollars),7695
Czechia,2018,Tourism expenditure (millions of US dollars),8291
Dem. Rep. of the Congo,1995,Tourist/visitor arrivals (thousands),35
Dem. Rep. of the Congo,2005,Tourist/visitor arrivals (thousands),61
Dem. Rep. of the Congo,2010,Tourist/visitor arrivals (thousands),81
Dem. Rep. of the Congo,2016,Tourist/visitor arrivals (thousands),351
Dem. Rep. of the Congo,2005,Tourism expenditure (millions of US dollars),3.2
Dem. Rep. of the Congo,2010,Tourism expenditure (millions of US dollars),10.7
Dem. Rep. of the Congo,2016,Tourism expenditure (millions of US dollars),4.3
Dem. Rep. of the Congo,2017,Tourism expenditure (millions of US dollars),6
Dem. Rep. of the Congo,2018,Tourism expenditure (millions of US dollars),60.5
Denmark,2005,Tourist/visitor arrivals (thousands),9587
Denmark,2010,Tourist/visitor arrivals (thousands),9425
Denmark,2016,Tourist/visitor arrivals (thousands),10781
Denmark,2017,Tourist/visitor arrivals (thousands),12426
Denmark,2018,Tourist/visitor arrivals (thousands),12749
Denmark,1995,Tourism expenditure (millions of US dollars),3691
Denmark,2005,Tourism expenditure (millions of US dollars),5293
Denmark,2010,Tourism expenditure (millions of US dollars),5704
Denmark,2016,Tourism expenditure (millions of US dollars),7494
Denmark,2017,Tourism expenditure (millions of US dollars),8508
Denmark,2018,Tourism expenditure (millions of US dollars),9097
Djibouti,1995,Tourist/visitor arrivals (thousands),21
Djibouti,2005,Tourist/visitor arrivals (thousands),30.2
Djibouti,2010,Tourist/visitor arrivals (thousands),51
Djibouti,1995,Tourism expenditure (millions of US dollars),5.4
Djibouti,2005,Tourism expenditure (millions of US dollars),7.1
Djibouti,2010,Tourism expenditure (millions of US dollars),18
Djibouti,2016,Tourism expenditure (millions of US dollars),33.5
Djibouti,2017,Tourism expenditure (millions of US dollars),36.2
Djibouti,2018,Tourism expenditure (millions of US dollars),57
Dominica,1995,Tourist/visitor arrivals (thousands),60
Dominica,2005,Tourist/visitor arrivals (thousands),79
Dominica,2010,Tourist/visitor arrivals (thousands),77
Dominica,2016,Tourist/visitor arrivals (thousands),78
Dominica,2017,Tourist/visitor arrivals (thousands),72
Dominica,2018,Tourist/visitor arrivals (thousands),63
Dominica,1995,Tourism expenditure (millions of US dollars),42
Dominica,2005,Tourism expenditure (millions of US dollars),57
Dominica,2010,Tourism expenditure (millions of US dollars),94
Dominica,2016,Tourism expenditure (millions of US dollars),198
Dominica,2017,Tourism expenditure (millions of US dollars),161
Dominica,2018,Tourism expenditure (millions of US dollars),111
Dominican Republic,1995,Tourist/visitor arrivals (thousands),1776
Dominican Republic,2005,Tourist/visitor arrivals (thousands),3691
Dominican Republic,2010,Tourist/visitor arrivals (thousands),4125
Dominican Republic,2016,Tourist/visitor arrivals (thousands),5959.3
Dominican Republic,2017,Tourist/visitor arrivals (thousands),6188
Dominican Republic,2018,Tourist/visitor arrivals (thousands),6569
Dominican Republic,1995,Tourism expenditure (millions of US dollars),1571
Dominican Republic,2005,Tourism expenditure (millions of US dollars),3518
Dominican Republic,2010,Tourism expenditure (millions of US dollars),4162
Dominican Republic,2016,Tourism expenditure (millions of US dollars),6720
Dominican Republic,2017,Tourism expenditure (millions of US dollars),7184
Dominican Republic,2018,Tourism expenditure (millions of US dollars),7561
Ecuador,1995,Tourist/visitor arrivals (thousands),440
Ecuador,2005,Tourist/visitor arrivals (thousands),860
Ecuador,2010,Tourist/visitor arrivals (thousands),1047
Ecuador,2016,Tourist/visitor arrivals (thousands),1569
Ecuador,2017,Tourist/visitor arrivals (thousands),1806
Ecuador,2018,Tourist/visitor arrivals (thousands),2535
Ecuador,1995,Tourism expenditure (millions of US dollars),315
Ecuador,2005,Tourism expenditure (millions of US dollars),488
Ecuador,2010,Tourism expenditure (millions of US dollars),786
Ecuador,2016,Tourism expenditure (millions of US dollars),1450
Ecuador,2017,Tourism expenditure (millions of US dollars),1554
Ecuador,2018,Tourism expenditure (millions of US dollars),1878
Egypt,1995,Tourist/visitor arrivals (thousands),2871
Egypt,2005,Tourist/visitor arrivals (thousands),8244
Egypt,2010,Tourist/visitor arrivals (thousands),14051
Egypt,2016,Tourist/visitor arrivals (thousands),5258
Egypt,2017,Tourist/visitor arrivals (thousands),8157
Egypt,2018,Tourist/visitor arrivals (thousands),11196
Egypt,1995,Tourism expenditure (millions of US dollars),2954
Egypt,2005,Tourism expenditure (millions of US dollars),7206
Egypt,2010,Tourism expenditure (millions of US dollars),13633
Egypt,2016,Tourism expenditure (millions of US dollars),3306
Egypt,2017,Tourism expenditure (millions of US dollars),8636
Egypt,2018,Tourism expenditure (millions of US dollars),12704
El Salvador,1995,Tourist/visitor arrivals (thousands),235
El Salvador,2005,Tourist/visitor arrivals (thousands),1127
El Salvador,2010,Tourist/visitor arrivals (thousands),1150
El Salvador,2016,Tourist/visitor arrivals (thousands),1434
El Salvador,2017,Tourist/visitor arrivals (thousands),1556
El Salvador,2018,Tourist/visitor arrivals (thousands),1677.3
El Salvador,1995,Tourism expenditure (millions of US dollars),152
El Salvador,2005,Tourism expenditure (millions of US dollars),656
El Salvador,2010,Tourism expenditure (millions of US dollars),646
El Salvador,2016,Tourism expenditure (millions of US dollars),1161
El Salvador,2017,Tourism expenditure (millions of US dollars),1227
El Salvador,2018,Tourism expenditure (millions of US dollars),1370
Equatorial Guinea,1995,Tourism expenditure (millions of US dollars),1
Eritrea,1995,Tourist/visitor arrivals (thousands),315
Eritrea,2005,Tourist/visitor arrivals (thousands),83
Eritrea,2010,Tourist/visitor arrivals (thousands),84
Eritrea,2016,Tourist/visitor arrivals (thousands),142
Eritrea,1995,Tourism expenditure (millions of US dollars),58
Eritrea,2005,Tourism expenditure (millions of US dollars),66
Eritrea,2016,Tourism expenditure (millions of US dollars),48
Estonia,1995,Tourist/visitor arrivals (thousands),530
Estonia,2005,Tourist/visitor arrivals (thousands),1917
Estonia,2010,Tourist/visitor arrivals (thousands),2511
Estonia,2016,Tourist/visitor arrivals (thousands),3131
Estonia,2017,Tourist/visitor arrivals (thousands),3244
Estonia,2018,Tourist/visitor arrivals (thousands),3234
Estonia,1995,Tourism expenditure (millions of US dollars),452
Estonia,2005,Tourism expenditure (millions of US dollars),1229
Estonia,2016,Tourism expenditure (millions of US dollars),1916
Estonia,2017,Tourism expenditure (millions of US dollars),2126
Estonia,2018,Tourism expenditure (millions of US dollars),2332
Eswatini,1995,Tourist/visitor arrivals (thousands),300
Eswatini,2005,Tourist/visitor arrivals (thousands),837
Eswatini,2010,Tourist/visitor arrivals (thousands),868
Eswatini,2016,Tourist/visitor arrivals (thousands),947
Eswatini,2017,Tourist/visitor arrivals (thousands),921
Eswatini,2018,Tourist/visitor arrivals (thousands),782
Eswatini,1995,Tourism expenditure (millions of US dollars),54
Eswatini,2005,Tourism expenditure (millions of US dollars),77.3
Eswatini,2010,Tourism expenditure (millions of US dollars),51.4
Eswatini,2016,Tourism expenditure (millions of US dollars),13.2
Eswatini,2017,Tourism expenditure (millions of US dollars),13.2
Eswatini,2018,Tourism expenditure (millions of US dollars),16.4
Ethiopia,1995,Tourist/visitor arrivals (thousands),103
Ethiopia,2005,Tourist/visitor arrivals (thousands),227
Ethiopia,2010,Tourist/visitor arrivals (thousands),468
Ethiopia,2016,Tourist/visitor arrivals (thousands),871
Ethiopia,2017,Tourist/visitor arrivals (thousands),933
Ethiopia,2018,Tourist/visitor arrivals (thousands),849
Ethiopia,1995,Tourism expenditure (millions of US dollars),177
Ethiopia,2005,Tourism expenditure (millions of US dollars),533
Ethiopia,2010,Tourism expenditure (millions of US dollars),1434
Ethiopia,2016,Tourism expenditure (millions of US dollars),2138
Ethiopia,2017,Tourism expenditure (millions of US dollars),2505
Ethiopia,2018,Tourism expenditure (millions of US dollars),3548
Fiji,1995,Tourist/visitor arrivals (thousands),318
Fiji,2005,Tourist/visitor arrivals (thousands),545
Fiji,2010,Tourist/visitor arrivals (thousands),632
Fiji,2016,Tourist/visitor arrivals (thousands),792
Fiji,2017,Tourist/visitor arrivals (thousands),843
Fiji,2018,Tourist/visitor arrivals (thousands),870
Fiji,1995,Tourism expenditure (millions of US dollars),369
Fiji,2005,Tourism expenditure (millions of US dollars),722
Fiji,2010,Tourism expenditure (millions of US dollars),825
Fiji,2016,Tourism expenditure (millions of US dollars),1149
Fiji,2017,Tourism expenditure (millions of US dollars),1243
Fiji,2018,Tourism expenditure (millions of US dollars),1370
Finland,1995,Tourist/visitor arrivals (thousands),1779
Finland,2005,Tourist/visitor arrivals (thousands),2080
Finland,2010,Tourist/visitor arrivals (thousands),2319
Finland,2016,Tourist/visitor arrivals (thousands),2789
Finland,2017,Tourist/visitor arrivals (thousands),3180
Finland,2018,Tourist/visitor arrivals (thousands),3224
Finland,1995,Tourism expenditure (millions of US dollars),2383
Finland,2005,Tourism expenditure (millions of US dollars),3069
Finland,2010,Tourism expenditure (millions of US dollars),4497
Finland,2016,Tourism expenditure (millions of US dollars),4016
Finland,2017,Tourism expenditure (millions of US dollars),5207
Finland,2018,Tourism expenditure (millions of US dollars),5663
France,1995,Tourist/visitor arrivals (thousands),60033
France,2005,Tourist/visitor arrivals (thousands),74988
France,2010,Tourist/visitor arrivals (thousands),76647
France,2016,Tourist/visitor arrivals (thousands),82682
France,2017,Tourist/visitor arrivals (thousands),86758
France,2018,Tourist/visitor arrivals (thousands),89322
France,1995,Tourism expenditure (millions of US dollars),31295
France,2005,Tourism expenditure (millions of US dollars),52126
France,2010,Tourism expenditure (millions of US dollars),56178
France,2016,Tourism expenditure (millions of US dollars),63557
France,2017,Tourism expenditure (millions of US dollars),67936
France,2018,Tourism expenditure (millions of US dollars),73125
French Guiana,2005,Tourist/visitor arrivals (thousands),95
French Guiana,2016,Tourist/visitor arrivals (thousands),96
French Guiana,2017,Tourist/visitor arrivals (thousands),111
French Guiana,2005,Tourism expenditure (millions of US dollars),44
French Polynesia,1995,Tourist/visitor arrivals (thousands),172
French Polynesia,2005,Tourist/visitor arrivals (thousands),208
French Polynesia,2010,Tourist/visitor arrivals (thousands),154
French Polynesia,2016,Tourist/visitor arrivals (thousands),192
French Polynesia,2017,Tourist/visitor arrivals (thousands),199
French Polynesia,2018,Tourist/visitor arrivals (thousands),216.3
French Polynesia,1995,Tourism expenditure (millions of US dollars),326
French Polynesia,2005,Tourism expenditure (millions of US dollars),759
French Polynesia,2010,Tourism expenditure (millions of US dollars),630
French Polynesia,2016,Tourism expenditure (millions of US dollars),782
Gabon,1995,Tourist/visitor arrivals (thousands),125
Gabon,2005,Tourist/visitor arrivals (thousands),269
Gabon,1995,Tourism expenditure (millions of US dollars),94
Gabon,2005,Tourism expenditure (millions of US dollars),13
Gabon,2010,Tourism expenditure (millions of US dollars),89
Gabon,2016,Tourism expenditure (millions of US dollars),28.7
Gambia,1995,Tourist/visitor arrivals (thousands),45
Gambia,2005,Tourist/visitor arrivals (thousands),108
Gambia,2010,Tourist/visitor arrivals (thousands),91
Gambia,2016,Tourist/visitor arrivals (thousands),450
Gambia,2017,Tourist/visitor arrivals (thousands),522
Gambia,2018,Tourist/visitor arrivals (thousands),552
Gambia,2005,Tourism expenditure (millions of US dollars),59
Gambia,2010,Tourism expenditure (millions of US dollars),80
Gambia,2016,Tourism expenditure (millions of US dollars),120
Gambia,2017,Tourism expenditure (millions of US dollars),116
Gambia,2018,Tourism expenditure (millions of US dollars),168
Georgia,2010,Tourist/visitor arrivals (thousands),1067
Georgia,2016,Tourist/visitor arrivals (thousands),3297
Georgia,2017,Tourist/visitor arrivals (thousands),4069.4
Georgia,2018,Tourist/visitor arrivals (thousands),4757
Georgia,2005,Tourism expenditure (millions of US dollars),287
Georgia,2010,Tourism expenditure (millions of US dollars),737
Georgia,2016,Tourism expenditure (millions of US dollars),2315
Georgia,2017,Tourism expenditure (millions of US dollars),2971
Georgia,2018,Tourism expenditure (millions of US dollars),3518
Germany,1995,Tourist/visitor arrivals (thousands),14847
Germany,2005,Tourist/visitor arrivals (thousands),21500
Germany,2010,Tourist/visitor arrivals (thousands),26875
Germany,2016,Tourist/visitor arrivals (thousands),35555
Germany,2017,Tourist/visitor arrivals (thousands),37452
Germany,2018,Tourist/visitor arrivals (thousands),38881
Germany,1995,Tourism expenditure (millions of US dollars),24053
Germany,2005,Tourism expenditure (millions of US dollars),40518
Germany,2010,Tourism expenditure (millions of US dollars),49116
Germany,2016,Tourism expenditure (millions of US dollars),52229
Germany,2017,Tourism expenditure (millions of US dollars),56330
Germany,2018,Tourism expenditure (millions of US dollars),60260
Ghana,1995,Tourist/visitor arrivals (thousands),286
Ghana,2005,Tourist/visitor arrivals (thousands),429
Ghana,2010,Tourist/visitor arrivals (thousands),931
Ghana,1995,Tourism expenditure (millions of US dollars),30
Ghana,2005,Tourism expenditure (millions of US dollars),867
Ghana,2010,Tourism expenditure (millions of US dollars),706
Ghana,2016,Tourism expenditure (millions of US dollars),952
Ghana,2017,Tourism expenditure (millions of US dollars),919
Ghana,2018,Tourism expenditure (millions of US dollars),996
Greece,1995,Tourist/visitor arrivals (thousands),10130
Greece,2005,Tourist/visitor arrivals (thousands),14765
Greece,2010,Tourist/visitor arrivals (thousands),15007
Greece,2016,Tourist/visitor arrivals (thousands),24799
Greece,2017,Tourist/visitor arrivals (thousands),27194
Greece,2018,Tourist/visitor arrivals (thousands),30123
Greece,1995,Tourism expenditure (millions of US dollars),4182
Greece,2005,Tourism expenditure (millions of US dollars),13455
Greece,2010,Tourism expenditure (millions of US dollars),13857
Greece,2016,Tourism expenditure (millions of US dollars),16811
Greece,2017,Tourism expenditure (millions of US dollars),19139
Greece,2018,Tourism expenditure (millions of US dollars),21594
Grenada,1995,Tourist/visitor arrivals (thousands),108
Grenada,2005,Tourist/visitor arrivals (thousands),99
Grenada,2010,Tourist/visitor arrivals (thousands),110
Grenada,2016,Tourist/visitor arrivals (thousands),156
Grenada,2017,Tourist/visitor arrivals (thousands),168
Grenada,2018,Tourist/visitor arrivals (thousands),185
Grenada,1995,Tourism expenditure (millions of US dollars),76
Grenada,2005,Tourism expenditure (millions of US dollars),71
Grenada,2010,Tourism expenditure (millions of US dollars),112
Grenada,2016,Tourism expenditure (millions of US dollars),437
Grenada,2017,Tourism expenditure (millions of US dollars),482
Grenada,2018,Tourism expenditure (millions of US dollars),548
Guadeloupe,1995,Tourist/visitor arrivals (thousands),640
Guadeloupe,2005,Tourist/visitor arrivals (thousands),372
Guadeloupe,2010,Tourist/visitor arrivals (thousands),392
Guadeloupe,2016,Tourist/visitor arrivals (thousands),581
Guadeloupe,2017,Tourist/visitor arrivals (thousands),650
Guadeloupe,2018,Tourist/visitor arrivals (thousands),735
Guadeloupe,1995,Tourism expenditure (millions of US dollars),458
Guadeloupe,2005,Tourism expenditure (millions of US dollars),306
Guadeloupe,2010,Tourism expenditure (millions of US dollars),510
Guadeloupe,2018,Tourism expenditure (millions of US dollars),860
Guam,1995,Tourist/visitor arrivals (thousands),1362
Guam,2005,Tourist/visitor arrivals (thousands),1228
Guam,2010,Tourist/visitor arrivals (thousands),1197
Guam,2016,Tourist/visitor arrivals (thousands),1536
Guam,2017,Tourist/visitor arrivals (thousands),1545
Guam,2018,Tourist/visitor arrivals (thousands),1549
Guatemala,2010,Tourist/visitor arrivals (thousands),1119
Guatemala,2016,Tourist/visitor arrivals (thousands),1585
Guatemala,2017,Tourist/visitor arrivals (thousands),1660
Guatemala,2018,Tourist/visitor arrivals (thousands),1781
Guatemala,1995,Tourism expenditure (millions of US dollars),213
Guatemala,2005,Tourism expenditure (millions of US dollars),791
Guatemala,2010,Tourism expenditure (millions of US dollars),1378
Guatemala,2016,Tourism expenditure (millions of US dollars),1550
Guatemala,2017,Tourism expenditure (millions of US dollars),1566
Guatemala,2018,Tourism expenditure (millions of US dollars),1549
Guinea,2005,Tourist/visitor arrivals (thousands),45
Guinea,2010,Tourist/visitor arrivals (thousands),12.4
Guinea,2016,Tourist/visitor arrivals (thousands),63
Guinea,2017,Tourist/visitor arrivals (thousands),99
Guinea,1995,Tourism expenditure (millions of US dollars),0.911
Guinea,2010,Tourism expenditure (millions of US dollars),2.04
Guinea,2016,Tourism expenditure (millions of US dollars),16.6
Guinea,2017,Tourism expenditure (millions of US dollars),16.6
Guinea,2018,Tourism expenditure (millions of US dollars),7.7
Guinea-Bissau,2005,Tourist/visitor arrivals (thousands),5
Guinea-Bissau,2010,Tourist/visitor arrivals (thousands),22.3
Guinea-Bissau,2016,Tourist/visitor arrivals (thousands),45.2
Guinea-Bissau,2005,Tourism expenditure (millions of US dollars),1.6
Guinea-Bissau,2010,Tourism expenditure (millions of US dollars),13.3
Guinea-Bissau,2016,Tourism expenditure (millions of US dollars),11.5
Guinea-Bissau,2017,Tourism expenditure (millions of US dollars),16.3
Guinea-Bissau,2018,Tourism expenditure (millions of US dollars),19.8
Guyana,1995,Tourist/visitor arrivals (thousands),106
Guyana,2005,Tourist/visitor arrivals (thousands),117
Guyana,2010,Tourist/visitor arrivals (thousands),152
Guyana,2016,Tourist/visitor arrivals (thousands),235
Guyana,2017,Tourist/visitor arrivals (thousands),247
Guyana,2018,Tourist/visitor arrivals (thousands),287
Guyana,1995,Tourism expenditure (millions of US dollars),33
Guyana,2005,Tourism expenditure (millions of US dollars),35
Guyana,2010,Tourism expenditure (millions of US dollars),80
Guyana,2016,Tourism expenditure (millions of US dollars),104
Guyana,2017,Tourism expenditure (millions of US dollars),95
Guyana,2018,Tourism expenditure (millions of US dollars),28
Haiti,1995,Tourist/visitor arrivals (thousands),145
Haiti,2005,Tourist/visitor arrivals (thousands),112
Haiti,2010,Tourist/visitor arrivals (thousands),255
Haiti,2016,Tourist/visitor arrivals (thousands),445
Haiti,2017,Tourist/visitor arrivals (thousands),467
Haiti,2018,Tourist/visitor arrivals (thousands),447
Haiti,1995,Tourism expenditure (millions of US dollars),90
Haiti,2005,Tourism expenditure (millions of US dollars),80
Haiti,2010,Tourism expenditure (millions of US dollars),383
Haiti,2016,Tourism expenditure (millions of US dollars),511
Haiti,2017,Tourism expenditure (millions of US dollars),460
Haiti,2018,Tourism expenditure (millions of US dollars),620
Honduras,1995,Tourist/visitor arrivals (thousands),271
Honduras,2005,Tourist/visitor arrivals (thousands),673
Honduras,2010,Tourist/visitor arrivals (thousands),863
Honduras,2016,Tourist/visitor arrivals (thousands),838
Honduras,2017,Tourist/visitor arrivals (thousands),851
Honduras,1995,Tourism expenditure (millions of US dollars),85
Honduras,2005,Tourism expenditure (millions of US dollars),465
Honduras,2010,Tourism expenditure (millions of US dollars),626.7
Honduras,2016,Tourism expenditure (millions of US dollars),700
Honduras,2017,Tourism expenditure (millions of US dollars),722
Honduras,2018,Tourism expenditure (millions of US dollars),745
Hungary,2005,Tourist/visitor arrivals (thousands),9979
Hungary,2010,Tourist/visitor arrivals (thousands),9510
Hungary,2016,Tourist/visitor arrivals (thousands),15255
Hungary,2017,Tourist/visitor arrivals (thousands),15785
Hungary,2018,Tourist/visitor arrivals (thousands),17552
Hungary,1995,Tourism expenditure (millions of US dollars),2938
Hungary,2005,Tourism expenditure (millions of US dollars),4761
Hungary,2010,Tourism expenditure (millions of US dollars),6595
Hungary,2016,Tourism expenditure (millions of US dollars),7481
Hungary,2017,Tourism expenditure (millions of US dollars),8448
Hungary,2018,Tourism expenditure (millions of US dollars),9595
Iceland,1995,Tourist/visitor arrivals (thousands),190
Iceland,2005,Tourist/visitor arrivals (thousands),374
Iceland,2010,Tourist/visitor arrivals (thousands),489
Iceland,2016,Tourist/visitor arrivals (thousands),1792
Iceland,2017,Tourist/visitor arrivals (thousands),2225
Iceland,2018,Tourist/visitor arrivals (thousands),2343.8
Iceland,1995,Tourism expenditure (millions of US dollars),186
Iceland,2005,Tourism expenditure (millions of US dollars),413
Iceland,2010,Tourism expenditure (millions of US dollars),562
Iceland,2016,Tourism expenditure (millions of US dollars),2411
Iceland,2017,Tourism expenditure (millions of US dollars),3024
Iceland,2018,Tourism expenditure (millions of US dollars),3128
India,1995,Tourist/visitor arrivals (thousands),2124
India,2005,Tourist/visitor arrivals (thousands),3919
India,2010,Tourist/visitor arrivals (thousands),5776
India,2016,Tourist/visitor arrivals (thousands),14570
India,2017,Tourist/visitor arrivals (thousands),15543
India,2018,Tourist/visitor arrivals (thousands),17423
India,2005,Tourism expenditure (millions of US dollars),7659
India,2016,Tourism expenditure (millions of US dollars),23111
India,2017,Tourism expenditure (millions of US dollars),27878
India,2018,Tourism expenditure (millions of US dollars),29143
Indonesia,1995,Tourist/visitor arrivals (thousands),4324
Indonesia,2005,Tourist/visitor arrivals (thousands),5002
Indonesia,2010,Tourist/visitor arrivals (thousands),7003
Indonesia,2016,Tourist/visitor arrivals (thousands),11519
Indonesia,2017,Tourist/visitor arrivals (thousands),14040
Indonesia,2018,Tourist/visitor arrivals (thousands),15810
Indonesia,2005,Tourism expenditure (millions of US dollars),5094
Indonesia,2010,Tourism expenditure (millions of US dollars),7618
Indonesia,2016,Tourism expenditure (millions of US dollars),12566
Indonesia,2017,Tourism expenditure (millions of US dollars),14691
Indonesia,2018,Tourism expenditure (millions of US dollars),15600
Iran (Islamic Republic of),1995,Tourist/visitor arrivals (thousands),568
Iran (Islamic Republic of),2010,Tourist/visitor arrivals (thousands),2938
Iran (Islamic Republic of),2016,Tourist/visitor arrivals (thousands),4942
Iran (Islamic Republic of),2017,Tourist/visitor arrivals (thousands),4867
Iran (Islamic Republic of),2018,Tourist/visitor arrivals (thousands),7295
Iran (Islamic Republic of),1995,Tourism expenditure (millions of US dollars),205
Iran (Islamic Republic of),2005,Tourism expenditure (millions of US dollars),1025
Iran (Islamic Republic of),2010,Tourism expenditure (millions of US dollars),2631
Iran (Islamic Republic of),2016,Tourism expenditure (millions of US dollars),3914
