"pac_name_affiliate","country_of_origin_parent_company","total","dems","repubs","year"
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$262,000","$139,000","$123,000",2005
"Fincantieri Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$19,500","$11,000","$8,500",2005
"Finsbury Glover Hering (WPP Group)","UK/WPP Group","$124,250","$71,500","$52,750",2005
"Florida East Coast Industries (SoftBank Corp)","Japan/SoftBank Corp","$62,000","$20,500","$41,500",2005
"Florida East Coast Railway (Grupo Mexico)","Mexico/Grupo Mexico","$2,150","$1,850","$300",2005
"Framatome (EDF Group)","France/EDF Group","$32,000","$15,000","$17,000",2005
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$405,500","$180,000","$225,500",2005
"G4S Secure Solutions","UK/G4S plc","$2,900","$2,900","$0",2005
"Garmin International (Garmin Ltd)","Switzerland/Garmin Ltd","$117,000","$39,500","$77,500",2005
"GE Appliances","China/Haier Group","$23,000","$5,000","$18,000",2005
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$295,000","$154,500","$140,500",2005
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$500","$0","$500",2005
"GenesisCare USA","Australia/GenesisCare","$17,000","$9,500","$7,500",2005
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$14,000","$6,000","$8,000",2005
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$0","$0","$0",2005
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$22,000","$7,000","$15,000",2005
"Greyhound Lines","UK/FirstGroup PLC","$10,500","$6,000","$4,500",2005
"GSK plc","UK/GlaxoSmithKline","$205,000","$54,000","$151,000",2005
"Haleon plc","UK/Haleon plc","$2,500","$0","$2,500",2005
"Hannover Life Reassurance Co","Germany/Hannover Re","$17,500","$10,000","$7,500",2005
"Hatch LTK (Hatch Ltd)","Canada/Hatch Ltd","$5,800","$5,800","$0",2005
"Headwaters Inc","Australia/Boral Ltd","$10,500","$1,000","$9,500",2005
"Heineken USA","Netherlands/L'Arche Green NV","$26,000","$14,000","$12,000",2005
"Herbalife Nutrition","UK/Herbalife Ltd","$85,500","$35,500","$50,000",2005
"Holcim US (Holcim Group)","Switzerland/Holcim Group","$37,000","$22,000","$15,000",2005
"Horizon Therapeutics","Ireland/Horizon Pharma PLC","$149,000","$89,000","$60,000",2005
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$34,500","$11,000","$23,500",2005
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$61,000","$36,500","$24,500",2005
"IBI Group Engineering Services","Canada/IBI Group","$150","$0","$150",2005
"IDEMIA Identity & Security (IDEMIA)","France/IDEMIA","$29,900","$6,000","$23,900",2005
"IGT Global Solutions","Italy/B&D Holding Di Marco Drago e C Sapa","$42,900","$32,900","$10,000",2005
"Infineon Technologies","Germany/Infineon Technologies AG","$20,000","$12,500","$7,500",2005
"Intelsat US","Luxembourg/Intelsat Holdings","$49,000","$25,500","$23,500",2005
"Intergraph Corp","Sweden/Hexagon AB","$2,900","$0","$2,900",2005
"Ipsen Biopharmaceuticals","France/Ipsen SA","$40,000","$22,500","$17,500",2005
"ITG Brands (Imperial Brands)","UK/Imperial Brands","$14,000","$5,500","$8,500",2005
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$169,198","$50,998","$118,200",2005
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$87,000","$50,000","$37,000",2005
"JBS USA","Brazil/JBS SA","$18,500","$7,000","$11,500",2005
"John Hancock Life Insurance","Canada/Manulife Financial","$94,500","$58,500","$36,000",2005
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$211,500","$117,500","$94,000",2005
"Komatsu Mining","Japan/Komatsu Ltd","$20,599","$9,500","$11,099",2005
"Lanxess Corp (Lanxess AG)","Germany/Lanxess AG","$0","$0","$0",2005
"Lehigh Hanson","Germany/HeidelbergCement AG","$102,000","$22,500","$79,500",2005
"Leonardo DRS","Italy/Leonardo SpA","$204,000","$76,500","$127,500",2005
"Liberty Utilities (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","$0","$0","$0",2005
"Lincare Holdings (Linde plc)","UK/Linde plc","$23,500","$6,000","$17,500",2005
"Linde plc (Linde plc)","UK/Linde Plc","$11,000","$11,000","$0",2005
"Livanova USA","UK/Livanova Plc","$6,000","$4,000","$2,000",2005
"Louis Dreyfus Co","Netherlands/Louis Dreyfus Group","$2,000","$0","$2,000",2005
"LSEG US","UK/London Stock Exchange Group","$2,000","$2,000","$0",2005
"Lundbeck Inc","Denmark/H Lundbeck A/S","$127,400","$72,400","$55,000",2005
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$95,000","$41,500","$53,500",2005
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$60,500","$29,500","$31,000",2005
"Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$500","$4,500","-$4,000",2005
"Maxar Technologies (Maxar Technologies)","Canada/Maxar Technologies","$173,500","$93,000","$78,000",2005
"MBDA Inc","UK/MBDA","$1,000","$0","$1,000",2005
"Medtronic Inc","Ireland/Medtronic Plc","$225,000","$119,000","$106,000",2005
"Mercedes-Benz USA (Daimler AG)","Germany/Daimler AG","$3,500","$0","$3,500",2005
"Messer North America","Germany/Messer Group","$28,500","$12,000","$16,500",2005
"Mitsubishi Power","Japan/Mitsubishi Power","$1,000","$0","$1,000",2005
"Molson Coors Beverage Co (Molson Coors Brewing)","Canada/Molson Coors Brewing","$77,500","$23,000","$54,500",2005
"MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$0","$0","$0",2005
"Munich American Reassurance","Germany/Munich Re Group","$12,500","$5,000","$7,500",2005
"Nammo Inc (Nammo AS)","Norway/Nammo AS","$9,000","$2,000","$7,000",2005
"National Grid USA (National Grid plc)","UK/National Grid plc","$58,500","$49,500","$9,000",2005
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$0","$0","$0",2005
"Nomura Holding America","Japan/Nomura Holdings","$49,500","$19,500","$30,000",2005
"NOVA Chemicals","United Arab Emirates/International Petroleum Investment Co","$0","$0","$0",2005
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$281,500","$159,500","$122,000",2005
"Novo Nordisk","Denmark/Novo Nordisk A/S","$288,250","$147,250","$141,000",2005
"Novocure Inc","UK/Novocure","$94,500","$46,000","$48,500",2005
"Nutrien Ag Solutions","Canada/Nutrien Ltd","$46,500","$15,000","$31,500",2005
"Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$125,500","$71,500","$54,000",2005
"Permobil Inc (Investor AB)","Sweden/Investor AB","$1,000","$1,000","$0",2005
"Pernod Ricard USA","France/Pernod Ricard SA","$27,000","$13,500","$13,500",2005
"Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$94,500","$50,000","$44,500",2005
"Philips Electronics North America (Philips)","Netherlands/Philips","$119,750","$54,250","$65,500",2005
"Prime Policy Group (WPP Group)","UK/WPP Group","$42,750","$24,500","$18,250",2005
"Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$177,000","$46,500","$130,500",2005
"Purpose Financial (Grupo Salinas)","Mexico/Grupo Salinas","$46,500","$18,500","$28,000",2005
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$11,500","$5,500","$6,000",2005
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$91,500","$45,000","$46,500",2005
"Recurrent Energy","Canada/Canadian Solar","$13,900","$9,900","$4,000",2005
"RELX Inc","UK/RELX Group","$94,500","$58,500","$36,000",2005
"Resolute FP US","Canada/Resolute Forest Products","$75,500","$5,500","$70,000",2005
"Reynolds American (British American Tobacco)","UK/British American Tobacco plc","$242,100","$63,600","$178,500",2005
"Rio Tinto America","UK/Rio Tinto Group","$33,500","$14,500","$19,000",2005
"Roche Diagnostics (Roche Holdings)","Switzerland/Roche Holdings","$103,000","$50,000","$53,000",2005
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$234,000","$87,000","$147,000",2005
"Saab North America","Sweden/Saab AB","$4,500","$2,500","$2,000",2005
"Sabic Innovative Plastics","Saudi Arabia/SABIC","$7,000","$6,000","$1,000",2005
"Safelite Group","Belgium/D'Ieteren SA","$3,500","$3,500","$0",2005
"Samsung Electronics America","South Korea/Samsung Group","$394,000","$214,500","$179,500",2005
"Sanofi US (Sanofi)","France/Sanofi","$233,000","$122,500","$110,500",2005
"Santander Bank (Banco Santander)","Spain/Banco Santander","$86,500","$54,000","$32,500",2005
"SAP America","Germany/SAP SE","$88,500","$43,500","$45,000",2005
"Schwan's Co","South Korea/CJ CheilJedang","$162,500","$49,000","$113,500",2005
"Securitas Security Services USA","Sweden/Securitas AB","$0","$0","$0",2005
"Serco Inc","UK/Serco Group","$117,500","$69,000","$48,500",2005
"Shell USA","UK/Shell plc","$5,000","$0","$5,000",2005
"Siemens Corp (Siemens AG)","Germany/Siemens AG","$184,000","$101,500","$82,500",2005
"Smith & Nephew","UK/Smith & Nephew Plc","$96,000","$56,500","$39,500",2005
"Smithfield Foods","China/WH Group","$41,000","$19,000","$22,000",2005
"Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$33,500","$16,500","$17,000",2005
"Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$29,948","$13,500","$16,448",2005
"Sodexo Inc","France/Sodexo","$2,900","$2,900","$0",2005
"Solvay America","Belgium/Solvay SA","$65,000","$35,500","$29,500",2005
"Sony Music Entertainment (Sony Corp)","Japan/Sony Corp","$32,500","$19,500","$13,000",2005
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$42,500","$26,000","$16,500",2005
"Spark Therapeutics (Roche Holdings)","Switzerland/Roche Holdings","$8,500","$6,500","$2,000",2005
"SSAB Americas","Sweden/SSAB AB","$31,500","$9,000","$22,500",2005
"Standard Insurance Co","Japan/Meiji Yasuda Life Insurance","$4,500","$2,000","$2,500",2005
"Steris Corp","Ireland/Steris PLC","$65,000","$27,500","$37,500",2005
"SUEZ Water","France/SUEZ Environnement","$20,500","$18,500","$2,000",2005
"Sun Life Financial (Sun Life Financial)","Canada/Sun Life Financial","$132,000","$75,000","$57,000",2005
"Sunovion Pharmaceuticals (Sumitomo Chemical)","Japan/Sumitomo Chemical","$107,200","$51,900","$55,300",2005
"Sunpower Corp","France/TotalEnergies","$32,000","$28,500","$3,500",2005
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$5,000","$0","$5,000",2005
"Swiss Re America","Switzerland/Swiss Reinsurance","$0","$0","$0",2005
"Syngenta Corp","China/ChemChina","$207,000","$56,000","$151,000",2005
"Tabacalera USA (Imperial Brands)","UK/Imperial Brands","$4,321","$2,300","$2,021",2005
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$207,500","$119,000","$88,500",2005
"TD Bank USA","Canada/Toronto-Dominion Bank","$259,500","$144,500","$114,000",2005
"TE Connectivity","Switzerland/TE Connectivity","$92,000","$39,500","$52,500",2005
"TECO Energy","Canada/Emera Inc","$37,000","$4,500","$32,500",2005
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$72,400","$34,500","$37,900",2005
"Toyota Motor North America","Japan/Toyota Motor Corp","$1,053,977","$538,097","$515,880",2005
"Trane Technologies","Ireland/Trane Technologies","$26,300","$3,300","$23,000",2005
"TransAmerica","Netherlands/Aegon NV","$418,500","$211,000","$207,500",2005
"Transcanada USA Services (TC Energy)","Canada/TC Energy","$138,500","$30,500","$108,000",2005
"UBS Americas","Switzerland/UBS AG","$1,470,000","$775,000","$695,000",2005
"UCB Inc (UCB SA)","Belgium/UCB SA","$52,500","$31,000","$21,500",2005
"Ultra Electronics USA","UK/Ultra Electronics","$80,000","$13,500","$66,500",2005
"Universal Music Group (Universal Music Group)","Netherlands/Universal Music Group NV","$131,000","$76,000","$55,000",2005
"Valent USA (Sumitomo Chemical)","Japan/Sumitomo Chemical","$8,000","$4,500","$3,500",2005
"Varian Medical Systems (Siemens AG)","Germany/Siemens AG","$65,800","$39,300","$26,500",2005
"VNA Holding (AB Volvo)","Sweden/AB Volvo","$67,500","$40,000","$27,500",2005
"VT Halter Marine","Singapore/ST Engineering","$18,000","$1,000","$17,000",2005
"Washington Gas Light Co (AltaGas Ltd)","Canada/AltaGas Ltd","$23,400","$14,400","$9,000",2005
"Westinghouse Electric","Canada/Brookfield Business Partners","$41,000","$15,000","$26,000",2005
"WSP USA","Canada/WSP Global","$64,750","$44,250","$20,500",2005
"ZF Automotive US (ZF Friedrichshafen AG)","Germany/ZF Friedrichshafen AG","-$2,000","$0","-$2,000",2005
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$308,000","$144,000","$164,000",2005
"7-Eleven","Japan/Seven & I Holdings","$0","$0","$0",2006
"ABB Group","Switzerland/Asea Brown Boveri","$9,250","$2,250","$6,500",2006
"Accenture (Accenture)","UK/Accenture plc","$313,380","$115,680","$195,700",2006
"Accenture (Accenture)","UK/Accenture plc","$0","$0","$0",2006
"ACE INA","UK/ACE Ltd","$108,000","$33,000","$75,000",2006
"Acuson Corp (Siemens AG)","Germany/Siemens AG","$0","$0","$0",2006
"AEGON USA","Netherlands/Aegon NV","$153,500","$58,000","$94,000",2006
"Agrium US","Canada/Agrium Inc","$0","$0","$0",2006
"AIM Management Group","UK/AMVESCAP","$32,000","$12,500","$19,500",2006
"Air Liquide America","France/L'Air Liquide SA","$4,000","$2,000","$2,000",2006
"Alcatel-Lucent Holding (Alcatel-Lucent)","France/Alcatel-Lucent","$68,000","$25,000","$43,000",2006
"Alcatel-Lucent Holding (Alcatel-Lucent)","France/Alcatel-Lucent","$20,000","$8,000","$12,000",2006
"Alcon Laboratories (Nestle SA)","Switzerland/Nestle","$40,826","$3,500","$37,326",2006
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$119,650","$38,100","$80,550",2006
"Allied Domecq Spirits & Wine (Pernod Ricard)","France/Pernod Ricard SA","$17,575","$3,515","$14,060",2006
"American Medical Response","Canada/Onex Corp","$15,750","$2,500","$11,250",2006
"American Water Works Co (RWE AG)","Germany/RWE AG","$0","$0","$0",2006
"APL Ltd","Singapore/Neptune Orient Lines Ltd","$31,000","$13,500","$17,500",2006
"Arcadis G&M","Netherlands/Arcadis NV","$46,800","$11,000","$35,800",2006
"AREVA Inc","France/Areva Group","$95,500","$32,000","$58,500",2006
"Arkema Inc","France/Arkema","$19,000","$2,000","$17,000",2006
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca","$384,320","$105,820","$276,500",2006
"Austin, Nichols & Co (Pernod Ricard)","France/Pernod Ricard SA","$6,000","$2,000","$4,000",2006
"Aviva USA","UK/Aviva PLC","$2,000","$2,000","$0",2006
"AXA Equitable Life Insurance (AXA)","France/AXA","$115,000","$49,000","$66,000",2006
"Babcock & Wilcox (McDermott International)","Panama/McDermott International","$30,000","$4,000","$26,000",2006
"Bacardi USA","UK/Bacardi Ltd","$14,990","$3,490","$9,500",2006
"BAE Systems (BAE Systems)","UK/BAE Systems","$499,499","$189,500","$301,999",2006
"BAE Systems Information Technology (BAE Systems)","UK/BAE Systems","$0","$0","$0",2006
"BAE Systems Land & Armaments (BAE Systems)","UK/BAE Systems","$295,500","$79,000","$214,500",2006
"Ballard Power Systems","Canada/Ballard Power Systems","$2,000","$2,000","$0",2006
"BancWest Corp (BNP Paribas)","France/BNP Paribas","$5,500","$2,500","$3,000",2006
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$59,000","$24,000","$34,000",2006
"BASF Corp","Germany/BASF Group","$151,000","$17,000","$133,000",2006
"Bayer Corp","Germany/Bayer AG","$255,000","$52,500","$198,500",2006
"BOC Group","UK/BOC Group","$0","$0","$0",2006
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$16,800","$4,300","$11,500",2006
"Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$9,850","$5,500","$4,350",2006
"BP North America","UK/BP PLC","$219,500","$75,000","$142,500",2006
"Bridgestone Americas","Japan/Bridgestone Corp","$108,750","$39,000","$69,750",2006
"Burson-Marsteller (WPP Group)","UK/WPP Group","$65,500","$27,500","$36,500",2006
"Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$15,000","$3,500","$11,500",2006
"BWX Technologies (McDermott International)","Panama/McDermott International","$153,500","$37,000","$114,500",2006
"California Portland Cement Co","Japan/Taiheiyo Cement Co","$38,860","$4,360","$34,500",2006
"Case New Holland","Italy/Fiat SPA","$44,500","$7,500","$37,000",2006
"CGI-AMS","Canada/CGI Group","$0","$0","$0",2006
"CGU Corp","UK/CGNU PLC","$6,500","$6,500","$0",2006
"Ciba Specialty Chemicals","Switzerland/Ciba Specialty Chemicals Holding","$18,000","$5,000","$13,000",2006
"CIBC World Markets","Canada/Canadian Imperial Bank of Commerce","$0","$0","$0",2006
"Cooper Industries","Ireland/Cooper Industries Ltd","$145,000","$4,500","$140,500",2006
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$508,860","$242,860","$261,000",2006
"DaimlerChrysler (DaimlerChrysler)","Germany/DaimlerChrysler AG","$416,090","$140,590","$273,500",2006
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$0","$0","$0",2006
"DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$0","$0","$0",2006
"Diageo North America","UK/Diageo PLC","$64,000","$19,500","$34,500",2006
"Dial Corp","Germany/Henkel KGaA","$22,750","$6,000","$16,750",2006
"E ON US","Germany/Eon AG","$19,000","$3,000","$16,000",2006
"EADS North America","Netherlands/European Aeronautic Defence & Space Co","$31,900","$9,000","$20,800",2006
"EmCare Inc","Canada/Onex Corp","$0","$0","$0",2006
"Essroc Corp","Italy/Italcementi Group","$3,500","$1,000","$2,500",2006
"Experian","UK/Experian","$191,353","$77,753","$112,600",2006
"Farmers Group (Zurich Financial Services)","Switzerland/Zurich Financial Services","$123,500","$23,000","$99,500",2006
"Food Lion","Belgium/Delhaize Group","$21,250","$4,500","$16,750",2006
"Foster Wheeler","Switzerland/Foster Wheeler PLC","$17,550","$300","$17,250",2006
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$74,500","$28,700","$45,800",2006
"GDF Suez Energy North America (SUEZ SA)","France/SUEZ SA","$83,008","$23,000","$60,008",2006
"Genentech Inc (Roche Holdings)","Switzerland/Roche Group","$201,500","$76,500","$115,000",2006
"GKN Corp","UK/GKN PLC","$6,000","$0","$6,000",2006
"GlaxoSmithKline","UK/GlaxoSmithKline","$891,413","$256,686","$623,727",2006
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$34,032","$14,657","$19,375",2006
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$34,500","$9,000","$25,500",2006
"Greyhound Lines","Canada/Laidlaw","$27,000","$16,000","$11,000",2006
"Heineken USA (Heineken NV)","Netherlands/Heineken NV","$69,500","$36,500","$30,500",2006
"Herbalife International","UK/Herbalife Ltd","$99,894","$48,144","$51,750",2006
"Hill & Knowlton (WPP Group)","UK/WPP Group","$8,750","$4,000","$4,750",2006
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$180,900","$69,000","$111,900",2006
"Holcim US","Switzerland/Holcim Ltd","$52,000","$20,000","$32,000",2006
"HSBC North America","UK/HSBC Holdings","$663,210","$239,450","$413,760",2006
"Hudson United Bancorp (Toronto-Dominion Bank)","Canada/Toronto-Dominion Bank","$500","$500","$0",2006
"Infineon Technologies","Germany/Infineon Technologies AG","$8,500","$3,400","$4,100",2006
"ING US (ING Group)","Netherlands/ING Group","$80,500","$34,500","$42,000",2006
"Intelsat Holdings","Luxembourg/Intelsat SA","$15,500","$11,000","$4,500",2006
"Intermagnetics General Corp (Philips Electronics)","Netherlands/Philips Electronics","$28,100","$17,100","$11,000",2006
"JA Jones Construction","Germany/Philipp Holzmann AG","$0","$0","$0",2006
"Jackson National Life Insurance","UK/Prudential PLC","$48,500","$8,500","$40,000",2006
"John Hancock Financial Services","Canada/Manulife Financial","$50,880","$31,380","$18,500",2006
"Kennecott Energy","UK/Rio Tinto PLC","$66,000","$10,500","$55,500",2006
"LaFarge North America (Lafarge SA)","France/Lafarge SA","$55,500","$23,000","$32,500",2006
"LaFarge North America (Lafarge SA)","France/Lafarge SA","$0","$0","$0",2006
"LaSalle Bank","Netherlands/ABN Amro Holding","$90,250","$48,000","$42,250",2006
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$1,000","$0","$1,000",2006
"Lehigh Cement","Germany/HeidelbergCement AG","$18,500","$3,000","$15,500",2006
"Lone Star Industries","Italy/Buzzi Unicem","$1,000","$0","$1,000",2006
"Loral Space & Communications","UK/Loral Space & Communications","$31,482","$21,482","$10,000",2006
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$71,500","$15,500","$56,000",2006
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$11,000","$5,000","$6,000",2006
"McDermott International (McDermott International)","Panama/McDermott International","$15,500","$3,000","$12,500",2006
"Metro-Goldwyn-Mayer (Sony Corp)","Japan/Sony Corp","$5,200","$1,000","$4,200",2006
"Miller Brewing","UK/SABMiller PLC","$112,000","$37,500","$74,500",2006
"MONY Group (AXA)","France/AXA","$0","$0","$0",2006
"National Grid USA (National Grid plc)","UK/National Grid plc","$102,750","$39,250","$63,000",2006
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$23,250","$5,500","$17,750",2006
"Nestle USA (Nestle SA)","Switzerland/Nestle","$31,000","$16,000","$15,000",2006
"Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$9,500","$0","$3,500",2006
"Norwegian Cruise Line","Malaysia/Genting Group","$27,000","$19,000","$8,000",2006
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$239,663","$65,618","$173,045",2006
"Novartis Vaccines & Diagnostics (Novartis AG)","Switzerland/Novartis AG","$16,100","$9,000","$6,100",2006
"Novo Nordisk","Denmark/Novo Nordisk A/S","$7,500","$3,000","$4,500",2006
"Ocean Systems Engineering (QinetiQ Group)","UK/QinetiQ Group","$10,350","$8,250","$2,100",2006
"Oldcastle Materials","Ireland/CRH PLC","$257,500","$98,000","$149,500",2006
"Organon Inc","Netherlands/Akzo Nobel","$0","$0","$0",2006
"Peter Pan Seafoods","Japan/Nichiro Corp","$6,100","$500","$5,600",2006
"Pharmavite LLC","Japan/Otsuka Pharmaceutical","$21,230","$11,230","$10,000",2006
"Philips Electronics North America (Philips Electronics)","Netherlands/Philips Electronics","$70,467","$12,900","$56,567",2006
"Planning Systems Inc (Qinetiq Group)","UK/QinetiQ Group","$43,200","$21,000","$22,200",2006
"PotashCorp","Canada/Potash Corporation of Saskatchewan","$10,000","$4,000","$6,000",2006
"PPM Energy","UK/Scottish Power","$3,000","$1,000","$2,000",2006
"Qimonda North America","Germany/Qimonda AG","$1,000","$0","$1,000",2006
"RBC Centura Banks","Canada/Royal Bank of Canada","$2,000","$0","$2,000",2006
"Reebok International","Germany/adidas AG","$30,100","$19,900","$8,200",2006
"Reed Elsevier Inc","UK/Reed Elsevier Group","$64,000","$18,000","$46,000",2006
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce International","$155,000","$40,500","$114,500",2006
"Roquette America","France/Roquette Freres","$0","$0","$0",2006
"Sagem Morpho Inc","France/Sagem SA","$0","$0","$0",2006
"Sanofi-Aventis US (Sanofi-Aventis)","France/Sanofi-Aventis","$125,500","$21,500","$99,000",2006
"Sanofi-Pasteur Inc (Sanofi-Aventis)","France/Sanofi-Aventis","$120,335","$34,000","$86,335",2006
"SAP America","Germany/SAP AG","$160,700","$43,000","$115,200",2006
"Schaeffler Group USA","Germany/Schaeffler Group","$12,000","$4,000","$6,000",2006
"Securitas Security Services USA","Sweden/Securitas AB","$12,250","$250","$11,000",2006
"Serono Inc","Switzerland/Serono SA","$5,500","$4,500","$1,000",2006
"SES Americom (SES SA)","Luxembourg/SES SA","$13,500","$3,500","$10,000",2006
"Shell Oil (Royal Dutch Shell)","Netherlands/Royal Dutch Shell","$71,500","$10,000","$61,500",2006
"Shire Pharmaceuticals","UK/Shire Plc","$0","$0","$0",2006
"Siemens Corp (Siemens AG)","Germany/Siemans AG","$317,999","$133,000","$183,999",2006
"Smith & Nephew","UK/Smith & Nephew Plc","$27,000","$10,000","$16,000",2006
"Sodexho Inc","France/Sodexho Alliance","$38,500","$26,500","$12,000",2006
"Solvay Pharmaceuticals","Belgium/Solvay SA","$59,000","$11,000","$48,000",2006
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$224,649","$100,500","$123,149",2006
"Spirit Aerosystems","Canada/Onex Corp","$0","$0","$0",2006
"Sun Life Assurance of Canada (Sun Life Financial)","Canada/Sun Life Financial","$3,000","$2,000","$1,000",2006
"Swedish Match North America","Sweden/Swedish Match AB","$39,872","$4,000","$35,872",2006
"Syngenta Corp","Switzerland/Syngenta AG","$115,250","$34,500","$80,750",2006
"Syntex (USA) Inc (Roche Holdings)","Switzerland/Roche Holdings","$0","$0","$0",2006
"T-Mobile USA","Germany/Deutsche Telekom AG","$241,500","$101,500","$140,000",2006
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$16,750","$0","$16,750",2006
"Teck Cominco American","Canada/Teck Cominco","$4,000","$0","$4,000",2006
"Timex Corp","Netherlands/Timex Group","$0","$0","$0",2006
"TOTAL Petrochemicals (TOTAL SA)","France/TOTAL SA","$2,000","$1,000","$1,000",2006
"Tyco International (Tyco International)","Ireland/Tyco International","$190,000","$42,000","$145,500",2006
"UBS Americas","Switzerland/UBS AG","$726,900","$287,900","$424,000",2006
"UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$14,250","$7,750","$6,500",2006
"United Water (SUEZ SA)","France/SUEZ SA","$17,800","$16,800","$1,000",2006
"Universal Music Group (Vivendi Universal)","France/Vivendi Universal","$147,226","$63,250","$82,476",2006
"USFilter Corp (Siemens AG)","Germany/Siemens AG","$0","$0","$0",2006
"VT Halter Marine","Singapore/ST Engineering","$3,500","$500","$3,000",2006
"Wackenhut Corp","Denmark/Group 4 Securicor","$19,600","$0","$19,600",2006
"Westfield Corp","Australia/Westfield Group of Australia","$26,088","$21,088","$5,000",2006
"Westinghouse Electric","Japan/Toshiba Corp","$21,500","$4,000","$17,500",2006
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$104,500","$37,000","$66,500",2006
"Willis North America","UK/Willis Group Holdings","$7,000","$3,000","$4,000",2006
"XL America","UK/XL Capital","$10,500","$500","$8,000",2006
"ZLB Behring","Australia/CSL Ltd","$3,500","$0","$3,500",2006
"Zurich Insurance (Zurich Financial Services)","Switzerland/Zurich Financial Services","$211,000","$58,500","$149,500",2006
"Accenture (Accenture)","Ireland/Accenture plc","$3,000","$0","$3,000",2007
"Acreage Holdings","Canada/Acreage Holdings","$0","$0","$0",2007
"Air Liquide America","France/L'Air Liquide SA","$17,300","$14,800","$2,500",2007
"Airbus Group","Netherlands/Airbus Group","$193,500","$82,500","$111,000",2007
"Alexion Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$186,250","$104,000","$82,250",2007
"Alkermes Inc","Ireland/Alkermes Plc","$84,500","$34,500","$50,000",2007
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$31,500","$20,500","$11,000",2007
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$2,525","$0","$2,525",2007
